2025-06-25 17:54:24 | WALLET | generateECDSAKeyPair() | SUCCESS | NONE
2025-06-25 17:54:24 | WALLET | extract_public_key() | SUCCESS | NONE
2025-06-25 17:54:24 | WALLET | genAddress() | SUCCESS | NONE
2025-06-25 17:54:24 | WALLET | Wallet() | SUCCESS | NONE
2025-06-25 17:54:24 | COIN | Coin() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | setNodeID() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | setTimeCreated() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | setServerID() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCKCHAIN | BlockChain() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | setTxid() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | transactions() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCK | MerkleRoot() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCK | setSize() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCK | setCurrHash() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCK | Block() | SUCCESS | NONE
2025-06-25 17:54:24 | BLOCKCHAIN | initial() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:24 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:24 | CONSENSUS | genDelegateID() | SUCCESS | NONE
2025-06-25 17:54:24 | CONSENSUS | requestDelegate() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | broadcastDelegateID() | SUCCESS | NONE
2025-06-25 17:54:24 | CONSENSUS | updatedVotes() | SUCCESS | NONE
2025-06-25 17:54:24 | CONSENSUS | serializeVector() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | broadcastVotes() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | vote() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | serverOnStart(Initial) | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | msgLoop() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | blkLoop() | SUCCESS | NONE
2025-06-25 17:54:24 | NETWORK | cnsLoop() | SUCCESS | NONE
2025-06-25 17:54:38 | CONSENSUS | getCurrentDelegate() | SUCCESS | NONE
2025-06-25 17:54:38 | COIN | getReward() | SUCCESS | NONE
2025-06-25 17:54:38 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:38 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:38 | UTIL | toString() | SUCCESS | NONE
2025-06-25 17:54:38 | TRANSACTIONS | setTxid() | SUCCESS | NONE
2025-06-25 17:54:38 | TRANSACTIONS | transactions() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | MerkleRoot() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | setSize() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | setCurrHash() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | Block() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCKCHAIN | GenerateBlock() | SUCCESS | NONE
2025-06-25 17:54:39 | COIN | setTotalSupply() | SUCCESS | NONE
2025-06-25 17:54:39 | COIN | setCircSupply() | SUCCESS | NONE
2025-06-25 17:54:39 | NETWORK | updateCoins() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:39 | NETWORK | verifyMempool() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | serialize() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | serialize() | SUCCESS | NONE
2025-06-25 17:54:39 | NETWORK | broadcastBlock() | SUCCESS | NONE
2025-06-25 17:54:39 | NETWORK | blkRqMethod() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:39 | BLOCK | getData() | SUCCESS | NONE
2025-06-25 17:54:39 | TRANSACTIONS | ~transactions() | SUCCESS | NONE
2025-06-25 17:54:39 | COIN | getTotalSupply() | SUCCESS | NONE
2025-06-25 17:54:39 | COIN | getCircSupply() | SUCCESS | NONE
2025-06-25 18:05:12 | WALLET | generateECDSAKeyPair() | SUCCESS | NONE
2025-06-25 18:05:12 | WALLET | extract_public_key() | SUCCESS | NONE
2025-06-25 18:05:12 | WALLET | genAddress() | SUCCESS | NONE
2025-06-25 18:05:12 | WALLET | Wallet() | SUCCESS | NONE
2025-06-25 18:05:12 | COIN | Coin() | SUCCESS | NONE
2025-06-25 18:05:12 | NETWORK | setNodeID() | SUCCESS | NONE
2025-06-25 18:05:12 | NETWORK | setTimeCreated() | SUCCESS | NONE
2025-06-25 18:05:12 | NETWORK | setServerID() | SUCCESS | NONE
2025-06-25 18:05:12 | BLOCKCHAIN | BlockChain() | SUCCESS | NONE
2025-06-25 18:05:12 | UTIL | toString() | SUCCESS | NONE
2025-06-25 18:05:12 | UTIL | toString() | SUCCESS | NONE
2025-06-25 18:05:12 | UTIL | toString() | SUCCESS | NONE
